from_station_id,to_station_id,weight
observatorio,tacubaya,3
tacubaya,observatorio,3
tacubaya,juanacatlan,2
juanacatlan,tacubaya,2
juanacatlan,chapultepec,2
chapultepec,juanacatlan,2
chapultepec,sevilla,2
sevilla,chapultepec,2
sevilla,insurgentes,2
insurgentes,sevilla,2
insurgentes,cuauhtemoc,2
cuauhtemoc,insurgentes,2
cuauhtemoc,balderas,2
balderas,cuauhtemoc,2
balderas,salto_del_agua,2
salto_del_agua,balderas,2
salto_del_agua,isabel_la_catolica,2
isabel_la_catolica,salto_del_agua,2
isabel_la_catolica,pino_suarez,2
pino_suarez,isabel_la_catolica,2
pino_suarez,merced,2
merced,pino_suarez,2
merced,candelaria,2
candelaria,merced,2
candelaria,san_lazaro,2
san_lazaro,candelaria,2
san_lazaro,moctezuma,2
moctezuma,san_lazaro,2
moctezuma,balbuena,2
balbuena,moctezuma,2
balbuena,boulevard_puerto_aereo,2
boulevard_puerto_aereo,balbuena,2
boulevard_puerto_aereo,gomez_farias,2
gomez_farias,boulevard_puerto_aereo,2
gomez_farias,zaragoza,2
zaragoza,gomez_farias,2
zaragoza,pantitlan,3
pantitlan,zaragoza,3
cuatro_caminos,panteones,2
panteones,cuatro_caminos,2
panteones,tacuba,3
tacuba,panteones,3
tacuba,cuitlahuac,2
cuitlahuac,tacuba,2
cuitlahuac,popotla,2
popotla,cuitlahuac,2
popotla,colegio_militar,2
colegio_militar,popotla,2
colegio_militar,normal,2
normal,colegio_militar,2
normal,san_cosme,2
san_cosme,normal,2
san_cosme,revolucion,2
revolucion,san_cosme,2
revolucion,hidalgo,3
hidalgo,revolucion,3
hidalgo,bellas_artes,2
bellas_artes,hidalgo,2
bellas_artes,allende,2
allende,bellas_artes,2
allende,zocalo,2
zocalo,allende,2
zocalo,pino_suarez,3
pino_suarez,zocalo,3
pino_suarez,san_antonio_abad,2
san_antonio_abad,pino_suarez,2
san_antonio_abad,chabacano,3
chabacano,san_antonio_abad,3
chabacano,viaducto,2
viaducto,chabacano,2
viaducto,xola,2
xola,viaducto,2
xola,villa_de_cortes,2
villa_de_cortes,xola,2
villa_de_cortes,nativitas,2
nativitas,villa_de_cortes,2
nativitas,portales,2
portales,nativitas,2
portales,ermita,3
